theta0;omega0;theta1;omega1;
1.36;-4;-0.566;1.5;
1.35;-4;-0.565;1.53;
1.35;-4.01;-0.563;1.57;
1.34;-4.02;-0.561;1.6;
1.34;-4.03;-0.56;1.64;
1.34;-4.03;-0.558;1.68;
1.33;-4.04;-0.556;1.71;
1.33;-4.05;-0.555;1.75;
1.32;-4.06;-0.553;1.79;
1.32;-4.06;-0.551;1.82;
1.32;-4.07;-0.549;1.86;
1.31;-4.08;-0.547;1.9;
1.31;-4.09;-0.546;1.94;
1.3;-4.09;-0.544;1.98;
1.3;-4.1;-0.542;2.01;
1.3;-4.11;-0.54;2.05;
1.29;-4.12;-0.537;2.09;
1.29;-4.13;-0.535;2.13;
1.28;-4.13;-0.533;2.17;
1.28;-4.14;-0.531;2.21;
1.27;-4.15;-0.529;2.25;
1.27;-4.16;-0.527;2.29;
1.27;-4.17;-0.524;2.33;
1.26;-4.18;-0.522;2.37;
1.26;-4.18;-0.519;2.41;
1.25;-4.19;-0.517;2.45;
1.25;-4.2;-0.515;2.49;
1.25;-4.21;-0.512;2.53;
1.24;-4.22;-0.51;2.57;
1.24;-4.23;-0.507;2.61;
1.23;-4.24;-0.504;2.65;
1.23;-4.25;-0.502;2.7;
1.22;-4.26;-0.499;2.74;
1.22;-4.27;-0.496;2.78;
1.22;-4.28;-0.493;2.82;
1.21;-4.29;-0.491;2.87;
1.21;-4.3;-0.488;2.91;
1.2;-4.31;-0.485;2.95;
1.2;-4.32;-0.482;3;
1.19;-4.33;-0.479;3.04;
1.19;-4.34;-0.476;3.09;
1.19;-4.35;-0.473;3.13;
1.18;-4.36;-0.469;3.17;
1.18;-4.37;-0.466;3.22;
1.17;-4.38;-0.463;3.27;
1.17;-4.39;-0.46;3.31;
1.16;-4.4;-0.456;3.36;
1.16;-4.41;-0.453;3.4;
1.15;-4.42;-0.449;3.45;
1.15;-4.44;-0.446;3.5;
1.15;-4.45;-0.442;3.54;
1.14;-4.46;-0.439;3.59;
1.14;-4.47;-0.435;3.64;
1.13;-4.48;-0.432;3.69;
1.13;-4.5;-0.428;3.74;
1.12;-4.51;-0.424;3.79;
1.12;-4.52;-0.42;3.84;
1.11;-4.53;-0.417;3.89;
1.11;-4.55;-0.413;3.94;
1.11;-4.56;-0.409;3.99;
1.1;-4.57;-0.405;4.04;
1.1;-4.59;-0.401;4.09;
1.09;-4.6;-0.396;4.14;
1.09;-4.62;-0.392;4.19;
1.08;-4.63;-0.388;4.25;
1.08;-4.65;-0.384;4.3;
1.07;-4.66;-0.379;4.35;
1.07;-4.68;-0.375;4.41;
1.06;-4.69;-0.371;4.46;
1.06;-4.71;-0.366;4.52;
1.05;-4.72;-0.362;4.57;
1.05;-4.74;-0.357;4.63;
1.04;-4.75;-0.352;4.69;
1.04;-4.77;-0.348;4.74;
1.04;-4.79;-0.343;4.8;
1.03;-4.8;-0.338;4.86;
1.03;-4.82;-0.333;4.92;
1.02;-4.84;-0.328;4.98;
1.02;-4.86;-0.323;5.04;
1.01;-4.88;-0.318;5.1;
1.01;-4.89;-0.313;5.16;
1;-4.91;-0.308;5.22;
0.996;-4.93;-0.303;5.28;
0.992;-4.95;-0.297;5.35;
0.987;-4.97;-0.292;5.41;
0.982;-4.99;-0.286;5.48;
0.977;-5.01;-0.281;5.54;
0.972;-5.03;-0.275;5.61;
0.967;-5.05;-0.27;5.68;
0.961;-5.07;-0.264;5.74;
0.956;-5.1;-0.258;5.81;
0.951;-5.12;-0.252;5.88;
0.946;-5.14;-0.246;5.95;
0.941;-5.16;-0.24;6.02;
0.936;-5.19;-0.234;6.09;
0.931;-5.21;-0.228;6.17;
0.925;-5.23;-0.222;6.24;
0.92;-5.26;-0.216;6.32;
0.915;-5.28;-0.209;6.39;
0.91;-5.31;-0.203;6.47;
0.904;-5.34;-0.196;6.55;
0.899;-5.36;-0.19;6.62;
0.894;-5.39;-0.183;6.7;
0.888;-5.42;-0.176;6.79;
0.883;-5.44;-0.17;6.87;
0.877;-5.47;-0.163;6.95;
0.872;-5.5;-0.156;7.03;
0.866;-5.53;-0.149;7.12;
0.861;-5.56;-0.142;7.21;
0.855;-5.59;-0.134;7.3;
0.85;-5.62;-0.127;7.38;
0.844;-5.65;-0.119;7.47;
0.838;-5.68;-0.112;7.57;
0.833;-5.72;-0.104;7.66;
0.827;-5.75;-0.0967;7.75;
0.821;-5.78;-0.0889;7.85;
0.815;-5.82;-0.081;7.95;
0.809;-5.85;-0.073;8.05;
0.804;-5.89;-0.0649;8.15;
0.798;-5.93;-0.0567;8.25;
0.792;-5.96;-0.0484;8.35;
0.786;-6;-0.04;8.45;
0.78;-6.04;-0.0315;8.56;
0.774;-6.08;-0.0228;8.67;
0.767;-6.12;-0.0141;8.78;
0.761;-6.16;-0.00529;8.89;
0.755;-6.2;0.00365;9;
0.749;-6.24;0.0127;9.11;
0.743;-6.28;0.0219;9.23;
0.736;-6.32;0.0312;9.34;
0.73;-6.37;0.0406;9.46;
0.724;-6.41;0.0501;9.58;
0.717;-6.46;0.0597;9.7;
0.711;-6.5;0.0695;9.82;
0.704;-6.55;0.0794;9.94;
0.698;-6.59;0.0894;10.1;
0.691;-6.64;0.0995;10.2;
0.684;-6.68;0.11;10.3;
0.678;-6.73;0.12;10.4;
0.671;-6.78;0.131;10.6;
0.664;-6.83;0.141;10.7;
0.657;-6.87;0.152;10.8;
0.65;-6.92;0.163;10.9;
0.643;-6.97;0.174;11.1;
0.636;-7.02;0.185;11.2;
0.629;-7.07;0.196;11.3;
0.622;-7.11;0.208;11.4;
0.615;-7.16;0.219;11.6;
0.608;-7.21;0.231;11.7;
0.601;-7.25;0.243;11.8;
0.593;-7.3;0.254;11.9;
0.586;-7.34;0.266;12;
0.579;-7.38;0.278;12.1;
0.571;-7.42;0.291;12.2;
0.564;-7.46;0.303;12.3;
0.556;-7.5;0.315;12.4;
0.549;-7.54;0.328;12.5;
0.541;-7.57;0.34;12.6;
0.534;-7.6;0.353;12.7;
0.526;-7.63;0.366;12.8;
0.519;-7.66;0.379;12.8;
0.511;-7.68;0.391;12.9;
0.503;-7.7;0.404;12.9;
0.495;-7.72;0.417;13;
0.488;-7.73;0.43;13;
0.48;-7.75;0.443;13;
0.472;-7.75;0.456;13;
0.465;-7.76;0.469;13;
0.457;-7.76;0.482;13;
0.449;-7.76;0.495;13;
0.441;-7.76;0.508;13;
0.433;-7.75;0.521;12.9;
0.426;-7.74;0.534;12.9;
0.418;-7.72;0.547;12.9;
0.41;-7.71;0.56;12.8;
0.403;-7.69;0.573;12.7;
0.395;-7.67;0.585;12.6;
0.387;-7.64;0.598;12.6;
0.38;-7.62;0.61;12.5;
0.372;-7.59;0.623;12.4;
0.364;-7.56;0.635;12.3;
0.357;-7.53;0.647;12.2;
0.349;-7.49;0.66;12.1;
0.342;-7.46;0.672;12;
0.334;-7.42;0.683;11.8;
0.327;-7.38;0.695;11.7;
0.32;-7.35;0.707;11.6;
0.312;-7.31;0.718;11.5;
0.305;-7.27;0.73;11.3;
0.298;-7.23;0.741;11.2;
0.291;-7.19;0.752;11.1;
0.284;-7.15;0.763;10.9;
0.276;-7.11;0.774;10.8;
0.269;-7.07;0.785;10.7;
0.262;-7.02;0.796;10.5;
0.255;-6.98;0.806;10.4;
0.248;-6.94;0.816;10.3;
0.241;-6.9;0.827;10.1;
0.234;-6.87;0.837;10;
0.228;-6.83;0.847;9.88;
0.221;-6.79;0.856;9.75;
0.214;-6.75;0.866;9.62;
0.207;-6.71;0.876;9.49;
0.201;-6.67;0.885;9.36;
0.194;-6.64;0.894;9.23;
0.187;-6.6;0.904;9.11;
0.181;-6.57;0.913;8.98;
0.174;-6.53;0.922;8.86;
0.168;-6.5;0.93;8.73;
0.161;-6.46;0.939;8.61;
0.155;-6.43;0.948;8.49;
0.148;-6.4;0.956;8.37;
0.142;-6.37;0.964;8.25;
0.136;-6.34;0.972;8.13;
0.129;-6.31;0.981;8.02;
0.123;-6.28;0.988;7.9;
0.117;-6.25;0.996;7.79;
0.11;-6.22;1;7.68;
0.104;-6.19;1.01;7.56;
0.0981;-6.17;1.02;7.45;
0.092;-6.14;1.03;7.35;
0.0858;-6.11;1.03;7.24;
0.0797;-6.09;1.04;7.13;
0.0737;-6.06;1.05;7.03;
0.0676;-6.04;1.06;6.92;
0.0616;-6.02;1.06;6.82;
0.0556;-5.99;1.07;6.71;
0.0496;-5.97;1.08;6.61;
0.0436;-5.95;1.08;6.51;
0.0377;-5.93;1.09;6.41;
0.0318;-5.91;1.09;6.31;
0.0259;-5.89;1.1;6.22;
0.02;-5.87;1.11;6.12;
0.0141;-5.85;1.11;6.02;
0.00829;-5.83;1.12;5.93;
0.00246;-5.81;1.13;5.83;
-0.00334;-5.8;1.13;5.74;
-0.00913;-5.78;1.14;5.65;
-0.0149;-5.76;1.14;5.56;
-0.0207;-5.75;1.15;5.46;
-0.0264;-5.73;1.15;5.37;
-0.0321;-5.71;1.16;5.28;
-0.0378;-5.7;1.16;5.19;
